PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret,TICKER
10107,30/09/2019,252,0.9439%,0.0005,1.3183,-0.3501,-0.3420,0.2614,0.7417%,1.6911%,80.7645%,-0.0023%,MSFT
10107,15/04/2020,252,-1.0478%,0.0008,1.2319,-0.2859,-0.5192,0.1012,0.7886%,2.4738%,89.8379%,-0.3231%,MSFT
10107,23/03/2020,252,-0.9975%,0.0011,1.2725,-0.3204,-0.4755,0.1023,0.7384%,2.2353%,89.0877%,1.3245%,MSFT
10107,04/11/2019,252,0.5775%,0.0005,1.2930,-0.4117,-0.4120,0.1285,0.6806%,1.5453%,80.6003%,1.0075%,MSFT
10107,27/07/2018,252,-1.7698%,0.0005,1.2314,-0.3548,-0.5663,0.5201,0.7153%,1.4033%,74.0184%,0.0528%,MSFT
10107,15/11/2017,252,-0.7733%,0.0003,1.1428,-0.2085,-0.5063,0.4529,0.6383%,0.9112%,50.9269%,-0.0148%,MSFT
10107,13/10/2017,252,0.4798%,0.0004,1.1097,-0.2063,-0.5057,0.4458,0.6311%,0.9184%,52.7759%,0.4695%,MSFT
10107,06/12/2017,252,1.4585%,0.0002,1.0976,-0.2226,-0.5105,0.5155,0.6486%,0.9366%,52.0474%,0.7248%,MSFT
10107,20/11/2017,252,0.1578%,0.0002,1.1231,-0.2268,-0.4834,0.4515,0.6363%,0.9050%,50.5718%,-0.1540%,MSFT
10107,19/08/2020,252,-0.6052%,0.0003,1.2383,-0.1825,-0.4981,0.0701,0.8736%,2.5895%,88.6191%,-0.0104%,MSFT
10107,28/12/2017,252,0.0117%,0.0000,1.1293,-0.2105,-0.5083,0.4765,0.6547%,0.9343%,50.8911%,-0.1495%,MSFT
10107,02/01/2019,252,-0.4430%,0.0006,1.2078,-0.3759,-0.4191,0.6012,0.7063%,1.7773%,84.2077%,1.4479%,MSFT
10107,31/07/2018,252,0.6738%,0.0005,1.2293,-0.3604,-0.5499,0.5220,0.7156%,1.4105%,74.2602%,-0.3298%,MSFT
10107,08/12/2017,252,2.0245%,0.0002,1.0869,-0.2149,-0.5174,0.4955,0.6566%,0.9329%,50.4605%,1.5666%,MSFT
10107,21/12/2020,252,1.8299%,-0.0000,1.2361,-0.2758,-0.4779,0.0356,0.9619%,2.7673%,87.9167%,2.1001%,MSFT
10107,27/10/2020,252,1.5089%,0.0002,1.2430,-0.2239,-0.5002,0.0483,0.9102%,2.6948%,88.5913%,0.4725%,MSFT
10107,26/12/2017,252,-0.1286%,0.0001,1.1162,-0.2088,-0.5061,0.4790,0.6558%,0.9349%,50.7933%,0.1698%,MSFT
10107,14/01/2021,252,-1.5346%,-0.0001,1.2375,-0.2915,-0.4986,0.0214,0.9664%,2.7806%,87.9205%,-0.2338%,MSFT
10107,22/09/2021,252,1.2822%,0.0007,1.1330,-0.4538,-0.3751,0.0367,0.7225%,1.3921%,73.0602%,0.3755%,MSFT
10107,21/04/2017,252,1.3740%,0.0003,1.3523,-0.4450,-0.3981,0.2350,0.8420%,1.1449%,45.9049%,1.7026%,MSFT
10107,08/08/2017,252,0.5387%,0.0004,1.0890,-0.2062,-0.4449,0.4274,0.6227%,0.9091%,53.0879%,0.6570%,MSFT
10107,24/05/2021,252,2.2882%,0.0001,1.2239,-0.4125,-0.3648,0.0632,0.8782%,1.7554%,74.9719%,0.6012%,MSFT
10107,04/03/2021,252,-0.3647%,0.0003,1.1988,-0.2850,-0.4119,0.0600,0.9683%,2.6702%,86.8489%,2.2010%,MSFT
10107,31/01/2019,252,-1.8330%,0.0006,1.2243,-0.3717,-0.3764,0.5920,0.7577%,1.8416%,83.0715%,-3.5834%,MSFT
10107,29/01/2018,252,-0.1488%,-0.0000,1.1749,-0.2028,-0.5130,0.4368,0.6427%,0.9451%,53.7513%,0.4687%,MSFT
10107,25/07/2017,252,0.8016%,0.0006,1.1253,-0.2520,-0.4175,0.3921,0.6239%,0.9089%,52.8716%,1.1483%,MSFT
10107,13/02/2019,252,-0.0748%,0.0005,1.2405,-0.3303,-0.3752,0.5834,0.7438%,1.7603%,82.1456%,-0.1593%,MSFT
10107,17/08/2021,252,-0.5160%,0.0004,1.1907,-0.4633,-0.3626,0.0346,0.7590%,1.5431%,75.8034%,0.2243%,MSFT
10107,30/11/2021,252,-1.7943%,0.0013,0.9823,-0.4427,-0.4101,0.1008,0.7463%,1.2653%,65.2090%,-0.0762%,MSFT
10107,12/03/2018,252,0.2382%,0.0004,1.1925,-0.2643,-0.5622,0.4148,0.6666%,1.1420%,65.9266%,0.6521%,MSFT
10107,17/06/2019,252,0.3020%,0.0006,1.2943,-0.3264,-0.3668,0.4750,0.7314%,1.6467%,80.2735%,0.0242%,MSFT
10107,30/07/2021,252,-0.5550%,0.0004,1.1920,-0.4411,-0.3759,0.0438,0.8267%,1.6098%,73.6254%,0.1294%,MSFT
10107,20/08/2021,252,2.5575%,0.0006,1.1918,-0.4591,-0.3726,0.0282,0.7688%,1.5490%,75.3689%,1.7478%,MSFT
10107,03/09/2021,252,-0.0033%,0.0005,1.1713,-0.4822,-0.3725,0.0424,0.7342%,1.4770%,75.2892%,-0.2789%,MSFT
10107,14/04/2021,252,-1.1219%,0.0001,1.2091,-0.3692,-0.4310,0.0197,0.8896%,1.8129%,75.9221%,0.2003%,MSFT
10107,04/03/2019,252,-0.2399%,0.0005,1.2459,-0.3323,-0.3547,0.6032,0.7487%,1.7463%,81.6205%,0.7164%,MSFT
10107,28/06/2021,252,1.3961%,-0.0000,1.2280,-0.4131,-0.3719,0.0463,0.8562%,1.6839%,74.1458%,0.3294%,MSFT
10107,30/04/2021,252,-0.1307%,-0.0000,1.2044,-0.3744,-0.3964,0.0436,0.8871%,1.7491%,74.2781%,0.5994%,MSFT
10107,09/04/2019,252,-0.5420%,0.0005,1.2407,-0.2760,-0.3590,0.5436,0.7037%,1.6079%,80.8453%,-0.4952%,MSFT
